         2908455 function calls (2866976 primitive calls) in 5.104 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
       96    0.000    0.000    0.001    0.000 enum.py:1525(__and__)
      766    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {built-in method nt.open}
     1036    0.001    0.000    0.001    0.000 compiler.py:765(get_resolve_func)
      376    0.001    0.000    0.001    0.000 optimizer.py:28(__init__)
      377    0.001    0.000    0.001    0.000 compiler.py:277(__init__)
        4    0.000    0.000    0.001    0.000 typing.py:2910(__new__)
     1440    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.001    0.000 argparse.py:1342(__init__)
      107    0.000    0.000    0.001    0.000 __init__.py:163(match)
       14    0.000    0.000    0.001    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
        2    0.000    0.000    0.001    0.000 __init__.py:1156(__init__)
        6    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
     1476    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 __init__.py:29(Markup)
      374    0.001    0.000    0.001    0.000 __init__.py:1734(isEnabledFor)
       14    0.000    0.000    0.001    0.000 typing.py:1655(__getitem_inner__)
     1532    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        6    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.001    0.000 parser.py:376(parse_block_sequence_first_entry)
       10    0.000    0.000    0.001    0.000 argparse.py:2597(_get_formatter)
     1417    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
       85    0.001    0.000    0.001    0.000 reader.py:99(forward)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2268(_IPv6Constants)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      376    0.001    0.000    0.001    0.000 {built-in method _functools.reduce}
        2    0.000    0.000    0.001    0.000 __init__.py:1207(_open)
       10    0.000    0.000    0.001    0.000 argparse.py:164(__init__)
        4    0.000    0.000    0.001    0.000 typing.py:2891(_make_nmtuple)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       91    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2192(__init__)
        1    0.000    0.000    0.001    0.001 parser.py:48(Parser)
     1790    0.001    0.000    0.001    0.000 nodes.py:94(get_eval_context)
     1511    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
      374    0.001    0.000    0.001    0.000 threading.py:1152(name)
       86    0.000    0.000    0.001    0.000 typing.py:334(_remove_dups_flatten)
      184    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     1130    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
      376    0.000    0.000    0.000    0.000 compiler.py:255(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:196(parse_statements)
       10    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
     1032    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      954    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      377    0.000    0.000    0.000    0.000 idtracking.py:235(__init__)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       23    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        8    0.000    0.000    0.000    0.000 create.py:78(tree_to_html)
       27    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
      392    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
      475    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      377    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:33(__init__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
      164    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
       12    0.000    0.000    0.000    0.000 csv.py:107(__next__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      377    0.000    0.000    0.000    0.000 compiler.py:418(outdent)
      188    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 environment.py:1133(Template)
     1030    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      744    0.000    0.000    0.000    0.000 _parser.py:176(append)
        7    0.000    0.000    0.000    0.000 parser.py:264(parse_block_node)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       73    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      114    0.000    0.000    0.000    0.000 enum.py:688(__call__)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       88    0.000    0.000    0.000    0.000 classes.py:17(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      374    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
      603    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       46    0.000    0.000    0.000    0.000 scanner.py:135(get_token)
       67    0.000    0.000    0.000    0.000 typing.py:1679(<genexpr>)
      342    0.000    0.000    0.000    0.000 enum.py:1507(_get_value)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       13    0.000    0.000    0.000    0.000 typing.py:1040(__init__)
       32    0.000    0.000    0.000    0.000 scanner.py:752(scan_to_next_token)
        1    0.000    0.000    0.000    0.000 reader.py:59(__init__)
      770    0.000    0.000    0.000    0.000 typing.py:1388(__eq__)
      140    0.000    0.000    0.000    0.000 _parser.py:376(_escape)
      547    0.000    0.000    0.000    0.000 reader.py:87(peek)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       18    0.000    0.000    0.000    0.000 enum.py:1514(__or__)
       17    0.000    0.000    0.000    0.000 scanner.py:1311(scan_plain_spaces)
        1    0.000    0.000    0.000    0.000 parser.py:139(parse_implicit_document_start)
        1    0.000    0.000    0.000    0.000 reader.py:122(determine_encoding)
      261    0.000    0.000    0.000    0.000 scanner.py:279(stale_possible_simple_keys)
       14    0.000    0.000    0.000    0.000 typing.py:1636(copy_with)
        1    0.000    0.000    0.000    0.000 scanner.py:654(fetch_double)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       23    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
        8    0.000    0.000    0.000    0.000 create.py:68(build_tree)
        1    0.000    0.000    0.000    0.000 scanner.py:657(fetch_flow_scalar)
        1    0.000    0.000    0.000    0.000 idtracking.py:30(Symbols)
       21    0.000    0.000    0.000    0.000 csv.py:93(fieldnames)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
      287    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
       14    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 datetime.py:893(date)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
      377    0.000    0.000    0.000    0.000 compiler.py:414(indent)
      114    0.000    0.000    0.000    0.000 enum.py:1095(__new__)
       82    0.000    0.000    0.000    0.000 reader.py:114(get_mark)
      137    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
     1094    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 scanner.py:1134(scan_flow_scalar)
        1    0.000    0.000    0.000    0.000 async_utils.py:1(<module>)
      296    0.000    0.000    0.000    0.000 runtime.py:816(__init__)
      377    0.000    0.000    0.000    0.000 compiler.py:608(choose_async)
        2    0.000    0.000    0.000    0.000 reader.py:177(update_raw)
       18    0.000    0.000    0.000    0.000 composer.py:88(compose_scalar_node)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        1    0.000    0.000    0.000    0.000 constructor.py:54(construct_document)
      377    0.000    0.000    0.000    0.000 compiler.py:600(leave_frame)
        1    0.000    0.000    0.000    0.000 runtime.py:392(LoopContext)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
  229/211    0.000    0.000    0.000    0.000 typing.py:1394(__hash__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
      582    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       84    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      376    0.000    0.000    0.000    0.000 compiler.py:943(<genexpr>)
      161    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 loaders.py:152(FileSystemLoader)
      484    0.000    0.000    0.000    0.000 typing.py:916(__eq__)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 runtime.py:144(Context)
      505    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:579(_calc_mode)
        1    0.000    0.000    0.000    0.000 runtime.py:589(AsyncLoopContext)
        1    0.000    0.000    0.000    0.000 loaders.py:431(FunctionLoader)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      604    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       30    0.000    0.000    0.000    0.000 typing.py:1664(<genexpr>)
        1    0.000    0.000    0.000    0.000 exceptions.py:18(TemplateNotFound)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
       86    0.000    0.000    0.000    0.000 typing.py:306(_deduplicate)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 utils.py:76(_PassArg)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
       19    0.000    0.000    0.000    0.000 __init__.py:19(_simple_escaping_wrapper)
       10    0.000    0.000    0.000    0.000 shutil.py:1426(get_terminal_size)
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
        2    0.000    0.000    0.000    0.000 constructor.py:410(construct_yaml_map)
       65    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       88    0.000    0.000    0.000    0.000 {built-in method math.ceil}
      154    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 constructor.py:215(construct_mapping)
        6    0.000    0.000    0.000    0.000 scanner.py:484(fetch_block_entry)
     1165    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 async_utils.py:13(decorator)
       44    0.000    0.000    0.000    0.000 scanner.py:1416(scan_line_break)
        1    0.000    0.000    0.000    0.000 scanner.py:1185(scan_flow_scalar_non_spaces)
        1    0.000    0.000    0.000    0.000 compiler.py:1173(<genexpr>)
       18    0.000    0.000    0.000    0.000 scanner.py:295(save_possible_simple_key)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        4    0.000    0.000    0.000    0.000 enum.py:1377(_missing_)
        1    0.000    0.000    0.000    0.000 parser.py:473(parse_assign_target)
        7    0.000    0.000    0.000    0.000 scanner.py:545(fetch_value)
        1    0.000    0.000    0.000    0.000 enum.py:499(__new__)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       40    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
       48    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
    56/43    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constructor.py:132(construct_mapping)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        6    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        1    0.000    0.000    0.000    0.000 runtime.py:660(Macro)
        1    0.000    0.000    0.000    0.000 lexer.py:471(Lexer)
       21    0.000    0.000    0.000    0.000 resolver.py:143(resolve)
        1    0.000    0.000    0.000    0.000 events.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:966(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
  375/300    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      187    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 nodes.py:425(FromImport)
       21    0.000    0.000    0.000    0.000 constructor.py:67(construct_object)
        1    0.000    0.000    0.000    0.000 utils.py:420(LRUCache)
        1    0.000    0.000    0.000    0.000 idtracking.py:202(visit_For)
       20    0.000    0.000    0.000    0.000 compiler.py:45(optimizeconst)
       92    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
      586    0.000    0.000    0.000    0.000 typing.py:1381(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:740(_code_to_timestamp_pyc)
      100    0.000    0.000    0.000    0.000 {method '__exit__' of 'nt.ScandirIterator' objects}
       78    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1562(__init__)
      265    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      380    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 lexer.py:465(_Rule)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
       19    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      296    0.000    0.000    0.000    0.000 runtime.py:886(__str__)
      229    0.000    0.000    0.000    0.000 scanner.py:264(next_possible_simple_key)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        5    0.000    0.000    0.000    0.000 __init__.py:882(__init__)
      200    0.000    0.000    0.000    0.000 typing.py:1687(__eq__)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:712(parse)
       56    0.000    0.000    0.000    0.000 reader.py:94(prefix)
        9    0.000    0.000    0.000    0.000 <frozen os>:282(walk)
      531    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       26    0.000    0.000    0.000    0.000 scanner.py:125(peek_token)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 parser.py:422(parse_block_mapping_first_key)
       48    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
    72/66    0.000    0.000    0.000    0.000 typing.py:1695(__hash__)
      531    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
        7    0.000    0.000    0.000    0.000 enum.py:367(__setitem__)
        1    0.000    0.000    0.000    0.000 lexer.py:319(TokenStream)
        6    0.000    0.000    0.000    0.000 locale.py:396(normalize)
        1    0.000    0.000    0.000    0.000 loaders.py:42(BaseLoader)
        1    0.000    0.000    0.000    0.000 argparse.py:1873(parse_args)
       41    0.000    0.000    0.000    0.000 _parser.py:316(_class_escape)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
      294    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 argparse.py:1853(_add_action)
        7    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 nodes.py:458(AssignBlock)
        2    0.000    0.000    0.000    0.000 __init__.py:2074(getLogger)
       13    0.000    0.000    0.000    0.000 enum.py:1367(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 emitter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1880(parse_known_args)
        2    0.000    0.000    0.000    0.000 argparse.py:1475(add_argument_group)
        4    0.000    0.000    0.000    0.000 __init__.py:1076(__init__)
        1    0.000    0.000    0.000    0.000 loaders.py:407(DictLoader)
        4    0.000    0.000    0.000    0.000 typing.py:2893(<dictcomp>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
        8    0.000    0.000    0.000    0.000 __main__.py:190(<listcomp>)
        9    0.000    0.000    0.000    0.000 compiler.py:61(_make_binop)
        5    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 datetime.py:1665(datetime)
        1    0.000    0.000    0.000    0.000 bccache.py:331(MemcachedBytecodeCache)
       10    0.000    0.000    0.000    0.000 argparse.py:1674(_add_action)
        1    0.000    0.000    0.000    0.000 compiler.py:165(Frame)
        1    0.000    0.000    0.000    0.000 nodes.py:655(Dict)
       96    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
     17/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 loaders.py:476(PrefixLoader)
        6    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
       28    0.000    0.000    0.000    0.000 parser.py:114(get_event)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
       82    0.000    0.000    0.000    0.000 error.py:6(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:576(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 serializer.py:1(<module>)
       32    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        2    0.000    0.000    0.000    0.000 argparse.py:1652(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
     17/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 composer.py:1(<module>)
       91    0.000    0.000    0.000    0.000 typing.py:284(_check_generic)
       32    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
       48    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
        3    0.000    0.000    0.000    0.000 reader.py:146(update)
        1    0.000    0.000    0.000    0.000 runtime.py:344(BlockReference)
        1    0.000    0.000    0.000    0.000 bccache.py:103(BytecodeCache)
        3    0.000    0.000    0.000    0.000 locale.py:362(_replace_encoding)
        3    0.000    0.000    0.000    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.000    0.000 nodes.py:303(Output)
        1    0.000    0.000    0.000    0.000 visitor.py:1(<module>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_hash_pyc)
        1    0.000    0.000    0.000    0.000 environment.py:1579(TemplateStream)
        1    0.000    0.000    0.000    0.000 loaders.py:241(PackageLoader)
       10    0.000    0.000    0.000    0.000 argparse.py:1565(_get_optional_kwargs)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 exceptions.py:53(TemplatesNotFound)
       74    0.000    0.000    0.000    0.000 typing.py:925(__hash__)
        1    0.000    0.000    0.000    0.000 nodes.py:337(If)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 scanner.py:48(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
       77    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 nodes.py:347(Macro)
        1    0.000    0.000    0.000    0.000 nodes.py:1094(MarkSafeIfAutoescape)
        1    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
       10    0.000    0.000    0.000    0.000 argparse.py:604(_format_args)
        1    0.000    0.000    0.000    0.000 __init__.py:1243(__init__)
        1    0.000    0.000    0.000    0.000 nodes.py:696(CondExpr)
        1    0.000    0.000    0.000    0.000 __init__.py:260(EscapeFormatter)
        1    0.000    0.000    0.000    0.000 nodes.py:911(Compare)
       37    0.000    0.000    0.000    0.000 argparse.py:1395(register)
        2    0.000    0.000    0.000    0.000 datetime.py:923(__new__)
       37    0.000    0.000    0.000    0.000 enum.py:193(__get__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 nodes.py:319(For)
        2    0.000    0.000    0.000    0.000 datetime.py:1336(__new__)
       10    0.000    0.000    0.000    0.000 argparse.py:1485(_add_action)
        1    0.000    0.000    0.000    0.000 optimizer.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
      112    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 datetime.py:2293(timezone)
        3    0.000    0.000    0.000    0.000 __init__.py:435(validate)
       33    0.000    0.000    0.000    0.000 scanner.py:325(unwind_indent)
       48    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 nodes.py:623(Tuple)
        4    0.000    0.000    0.000    0.000 constructor.py:405(construct_yaml_seq)
        5    0.000    0.000    0.000    0.000 __init__.py:863(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 loaders.py:539(ChoiceLoader)
        1    0.000    0.000    0.000    0.000 runtime.py:794(Undefined)
       23    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 scanner.py:359(fetch_stream_start)
       14    0.000    0.000    0.000    0.000 constructor.py:402(construct_yaml_str)
      124    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       34    0.000    0.000    0.000    0.000 __init__.py:253(escape)
        1    0.000    0.000    0.000    0.000 compiler.py:1647(visit_Tuple)
       27    0.000    0.000    0.000    0.000 lexer.py:146(<genexpr>)
        3    0.000    0.000    0.000    0.000 runtime.py:136(_dict_method_all)
        1    0.000    0.000    0.000    0.000 argparse.py:1918(_parse_known_args)
        3    0.000    0.000    0.000    0.000 datetime.py:1673(__new__)
        1    0.000    0.000    0.000    0.000 environment.py:68(get_spontaneous_environment)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1687(<setcomp>)
        1    0.000    0.000    0.000    0.000 typing.py:1830(__class_getitem__)
       18    0.000    0.000    0.000    0.000 constructor.py:173(construct_scalar)
        1    0.000    0.000    0.000    0.000 compiler.py:157(MacroRef)
        2    0.000    0.000    0.000    0.000 constructor.py:124(construct_sequence)
        1    0.000    0.000    0.000    0.000 parser.py:127(parse_stream_start)
        5    0.000    0.000    0.000    0.000 datetime.py:515(_check_date_fields)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        4    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:1460(setLevel)
        5    0.000    0.000    0.000    0.000 __init__.py:912(createLock)
        1    0.000    0.000    0.000    0.000 datetime.py:1311(time)
       13    0.000    0.000    0.000    0.000 enum.py:1357(_iter_member_by_value_)
       15    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        2    0.000    0.000    0.000    0.000 datetime.py:765(__neg__)
       18    0.000    0.000    0.000    0.000 utils.py:89(internalcode)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 environment.py:294(__init__)
       19    0.000    0.000    0.000    0.000 typing.py:1049(<genexpr>)
        1    0.000    0.000    0.000    0.000 nodes.py:294(Template)
        2    0.000    0.000    0.000    0.000 constructor.py:129(<listcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1311(__iter__)
        1    0.000    0.000    0.000    0.000 nodes.py:739(_FilterTestCommon)
        1    0.000    0.000    0.000    0.000 nodes.py:206(set_ctx)
       17    0.000    0.000    0.000    0.000 scanner.py:731(check_plain)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 nodes.py:817(Call)
        1    0.000    0.000    0.000    0.000 lexer.py:254(Failure)
       96    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1276(IPv4Address)
       10    0.000    0.000    0.000    0.000 <template>:4(root)
       10    0.000    0.000    0.000    0.000 argparse.py:1599(_pop_action_class)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.000    0.000 nodes.py:644(List)
        7    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      127    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 datetime.py:573(timedelta)
       10    0.000    0.000    0.000    0.000 typing.py:2609(overload)
       13    0.000    0.000    0.000    0.000 typing.py:1981(_caller)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        3    0.000    0.000    0.000    0.000 csv.py:81(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1415(_clear_cache)
       98    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        4    0.000    0.000    0.000    0.000 lexer.py:292(test_any)
        3    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1854(_split_scope_id)
       18    0.000    0.000    0.000    0.000 tokens.py:98(__init__)
       45    0.000    0.000    0.000    0.000 functools.py:65(wraps)
