         2908455 function calls (2866976 primitive calls) in 5.104 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      376    0.002    0.000    0.052    0.000 lexer.py:604(tokenize)
      374    0.001    0.000    0.050    0.000 __init__.py:1216(emit)
      376    0.004    0.000    0.049    0.000 lexer.py:325(__init__)
    19554    0.048    0.000    0.048    0.000 {built-in method nt._getfullpathname}
      308    0.001    0.000    0.045    0.000 <frozen genericpath>:16(exists)
      377    0.001    0.000    0.045    0.000 idtracking.py:46(analyze_node)
       67    0.001    0.000    0.044    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      376    0.003    0.000    0.044    0.000 compiler.py:538(pull_dependencies)
184521/183992    0.043    0.000    0.043    0.000 {built-in method builtins.len}
       91    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      473    0.038    0.000    0.042    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      376    0.001    0.000    0.040    0.000 idtracking.py:178(_simple_visit)
       76    0.000    0.000    0.040    0.001 <frozen importlib._bootstrap_external>:1499(find_spec)
       76    0.001    0.000    0.040    0.001 <frozen importlib._bootstrap_external>:1467(_get_spec)
      287    0.001    0.000    0.039    0.000 <frozen genericpath>:39(isdir)
      377    0.002    0.000    0.038    0.000 compiler.py:142(find_undeclared)
      748    0.001    0.000    0.038    0.000 __init__.py:942(format)
    55485    0.031    0.000    0.038    0.000 nodes.py:147(iter_fields)
      193    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
      262    0.001    0.000    0.037    0.000 __init__.py:272(_compile)
      376    0.007    0.000    0.037    0.000 nodes.py:231(set_environment)
       92    0.001    0.000    0.037    0.000 <frozen ntpath>:256(islink)
      748    0.005    0.000    0.037    0.000 __init__.py:674(format)
       92    0.036    0.000    0.036    0.000 {built-in method nt.lstat}
    39106    0.036    0.000    0.036    0.000 {built-in method nt._path_normpath}
       67    0.000    0.000    0.036    0.001 __init__.py:225(compile)
     3961    0.028    0.000    0.036    0.000 nodes.py:129(__init__)
       48    0.000    0.000    0.035    0.001 _compiler.py:740(compile)
      374    0.002    0.000    0.035    0.000 __init__.py:1595(makeRecord)
      376    0.001    0.000    0.035    0.000 nodes.py:186(find)
        1    0.000    0.000    0.034    0.034 bccache.py:1(<module>)
    12622    0.026    0.000    0.034    0.000 compiler.py:453(write)
      374    0.011    0.000    0.033    0.000 __init__.py:292(__init__)
  360/357    0.005    0.000    0.033    0.000 {built-in method builtins.__build_class__}
      372    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     3964    0.004    0.000    0.029    0.000 {method 'extend' of 'collections.deque' objects}
      748    0.004    0.000    0.028    0.000 __init__.py:1087(flush)
      6/3    0.000    0.000    0.026    0.009 {built-in method builtins.__import__}
    40471    0.023    0.000    0.023    0.000 {built-in method fromkeys}
      101    0.023    0.000    0.023    0.000 {built-in method nt.scandir}
    31/25    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      748    0.005    0.000    0.022    0.000 __init__.py:606(formatTime)
        1    0.000    0.000    0.022    0.022 loader.py:1(<module>)
        1    0.000    0.000    0.022    0.022 classes.py:1(<module>)
    13309    0.013    0.000    0.021    0.000 visitor.py:28(get_visitor)
        2    0.000    0.000    0.021    0.011 nodes.py:1(<module>)
    28227    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
      748    0.019    0.000    0.019    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1790    0.002    0.000    0.019    0.000 lexer.py:598(_normalize_newlines)
     5654    0.005    0.000    0.019    0.000 lexer.py:376(skip_if)
     1878    0.018    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
      374    0.004    0.000    0.018    0.000 __init__.py:1561(findCaller)
      376    0.018    0.000    0.018    0.000 {method 'split' of 're.Pattern' objects}
       48    0.000    0.000    0.018    0.000 _compiler.py:573(_code)
    10062    0.012    0.000    0.018    0.000 <frozen _collections_abc>:786(keys)
       96    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.017    0.017 utils.py:1(<module>)
    10438    0.013    0.000    0.017    0.000 nodes.py:76(__init__)
     9776    0.016    0.000    0.016    0.000 <frozen ntpath>:769(<listcomp>)
       48    0.000    0.000    0.016    0.000 _parser.py:979(parse)
     9901    0.013    0.000    0.016    0.000 lexer.py:277(test)
     9776    0.016    0.000    0.016    0.000 <frozen ntpath>:770(<listcomp>)
   174/48    0.001    0.000    0.016    0.000 _parser.py:456(_parse_sub)
    45943    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
    30461    0.016    0.000    0.016    0.000 {method 'rfind' of 'str' objects}
   295/50    0.006    0.000    0.016    0.000 _parser.py:516(_parse)
      376    0.002    0.000    0.015    0.000 environment.py:1213(from_code)
        1    0.000    0.000    0.015    0.015 tempfile.py:1(<module>)
     5654    0.005    0.000    0.014    0.000 lexer.py:367(next_if)
    20408    0.014    0.000    0.014    0.000 runtime.py:229(resolve_or_missing)
        1    0.000    0.000    0.014    0.014 log_utils.py:1(<module>)
    40316    0.014    0.000    0.014    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.013    0.002 create.py:61(create_index_file)
      377    0.001    0.000    0.013    0.000 <frozen ntpath>:249(dirname)
    10062    0.008    0.000    0.013    0.000 __init__.py:1023(__bool__)
     1122    0.003    0.000    0.012    0.000 __init__.py:194(_is_internal_frame)
       65    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     8378    0.008    0.000    0.012    0.000 compiler.py:474(newline)
    39276    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
   464/48    0.003    0.000    0.012    0.000 _compiler.py:37(_compile)
      377    0.004    0.000    0.012    0.000 compiler.py:584(enter_frame)
      376    0.001    0.000    0.012    0.000 compiler.py:723(write_commons)
       65    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
    10743    0.008    0.000    0.011    0.000 <frozen ntpath>:35(_get_bothseps)
      184    0.010    0.000    0.011    0.000 _compiler.py:243(_optimize_charset)
  758/714    0.001    0.000    0.011    0.000 typing.py:373(inner)
    18750    0.010    0.000    0.011    0.000 {built-in method builtins.max}
      966    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      376    0.001    0.000    0.011    0.000 environment.py:454(lexer)
     1415    0.006    0.000    0.010    0.000 compiler.py:1593(visit_Name)
      376    0.003    0.000    0.010    0.000 lexer.py:428(get_lexer)
     3202    0.005    0.000    0.010    0.000 compiler.py:1434(_output_child_to_const)
       88    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
      748    0.009    0.000    0.009    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.009    0.009 defaults.py:1(<module>)
      104    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       94    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.008    0.008 create.py:39(create_master_index)
       94    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.008    0.008 lexer.py:1(<module>)
        1    0.000    0.000    0.008    0.008 reader.py:1(<module>)
        1    0.000    0.000    0.008    0.008 reader.py:45(Reader)
     1415    0.002    0.000    0.008    0.000 idtracking.py:238(visit_Name)
      748    0.008    0.000    0.008    0.000 {built-in method time.localtime}
    13995    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}
     1790    0.002    0.000    0.008    0.000 compiler.py:1427(_output_const_repr)
    29002    0.007    0.000    0.007    0.000 {method 'write' of '_io.StringIO' objects}
    19526    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
     1128    0.004    0.000    0.007    0.000 environment.py:459(iter_extensions)
        1    0.000    0.000    0.007    0.007 pickle.py:1(<module>)
      376    0.002    0.000    0.007    0.000 environment.py:642(preprocess)
        1    0.000    0.000    0.007    0.007 __main__.py:55(load_config)
       96    0.007    0.000    0.007    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.007    0.007 __init__.py:117(safe_load)
        1    0.000    0.000    0.007    0.007 __init__.py:74(load)
    22008    0.006    0.000    0.006    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.006    0.006 constructor.py:47(get_single_data)
        1    0.000    0.000    0.006    0.006 composer.py:29(get_single_node)
     1413    0.002    0.000    0.006    0.000 idtracking.py:116(load)
       48    0.000    0.000    0.006    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.006    0.006 filters.py:1(<module>)
     8869    0.006    0.000    0.006    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.005    0.005 composer.py:50(compose_document)
      376    0.005    0.000    0.005    0.000 compiler.py:301(__init__)
     21/1    0.000    0.000    0.005    0.005 composer.py:63(compose_node)
        1    0.000    0.000    0.005    0.005 compiler.py:1(<module>)
    10081    0.005    0.000    0.005    0.000 {built-in method builtins.any}
     2370    0.005    0.000    0.005    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.005    0.005 composer.py:117(compose_mapping_node)
7669/7666    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFE72ED0FD0}
       64    0.000    0.000    0.005    0.000 parser.py:94(check_event)
    10062    0.005    0.000    0.005    0.000 <frozen _collections_abc>:812(__init__)
        1    0.000    0.000    0.005    0.005 resolver.py:1(<module>)
    13496    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
        5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
      378    0.002    0.000    0.005    0.000 parser.py:998(flush_data)
        5    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
      213    0.001    0.000    0.005    0.000 typing.py:1376(__init__)
      748    0.001    0.000    0.005    0.000 __init__.py:658(formatMessage)
   130/86    0.000    0.000    0.005    0.000 typing.py:500(__getitem__)
     1794    0.005    0.000    0.005    0.000 {built-in method builtins.repr}
    13775    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
      481    0.003    0.000    0.005    0.000 <frozen codecs>:319(decode)
       67    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
     1496    0.003    0.000    0.004    0.000 __init__.py:922(acquire)
        1    0.000    0.000    0.004    0.004 bz2.py:1(<module>)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:1151(_cache_bytecode)
      376    0.001    0.000    0.004    0.000 utils.py:463(get)
    10062    0.004    0.000    0.004    0.000 runtime.py:184(<dictcomp>)
       86    0.000    0.000    0.004    0.000 typing.py:679(Union)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:1156(set_data)
      158    0.000    0.000    0.004    0.000 scanner.py:113(check_token)
    13702    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
      748    0.002    0.000    0.004    0.000 __init__.py:652(usesTime)
      748    0.001    0.000    0.004    0.000 __init__.py:447(format)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:185(_write_atomic)
       90    0.000    0.000    0.004    0.000 typing.py:1586(__getitem__)
       88    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      379    0.002    0.000    0.004    0.000 compiler.py:168(__init__)
        1    0.000    0.000    0.004    0.004 dumper.py:1(<module>)
    13645    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
      134    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.003    0.003 constructor.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:454(StrFormatStyle)
    10459    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      376    0.003    0.000    0.003    0.000 environment.py:1244(_from_namespace)
     3580    0.003    0.000    0.003    0.000 lexer.py:342(__bool__)
      376    0.003    0.000    0.003    0.000 utils.py:497(__getitem__)
     1412    0.002    0.000    0.003    0.000 compiler.py:1455(_output_child_pre)
      415    0.001    0.000    0.003    0.000 typing.py:168(_type_check)
       32    0.000    0.000    0.003    0.000 scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    0.003    0.003 lexer.py:479(__init__)
      748    0.003    0.000    0.003    0.000 __init__.py:440(_format)
        1    0.000    0.000    0.003    0.003 _identifier.py:1(<module>)
      113    0.000    0.000    0.003    0.000 typing.py:1595(copy_with)
       10    0.000    0.000    0.003    0.000 lexer.py:483(c)
     3373    0.001    0.000    0.003    0.000 _parser.py:261(get)
     2828    0.003    0.000    0.003    0.000 {method 'groupdict' of 're.Match' objects}
     1417    0.002    0.000    0.003    0.000 compiler.py:281(visit_Name)
     1790    0.002    0.000    0.003    0.000 nodes.py:614(as_const)
      378    0.002    0.000    0.003    0.000 compiler.py:1379(_make_finalize)
       88    0.001    0.000    0.003    0.000 __init__.py:178(sub)
       44    0.000    0.000    0.003    0.000 typing.py:723(Optional)
     8032    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
      376    0.003    0.000    0.003    0.000 {method 'getvalue' of '_io.StringIO' objects}
     1412    0.001    0.000    0.003    0.000 compiler.py:1471(_output_child_post)
